id,author,message,timestamp,chat_room_id,recipient,message_status,is_deleted,is_edited
1,vincent,hello,2024-10-03 14:36:19.637636,,,sent,f,f
2,chen,hello,2024-10-03 14:36:37.127385,,,sent,f,f
3,chen,hello,2024-10-04 07:32:10.46181,,,sent,f,f
5,chen,hello,2024-10-04 07:33:55.674864,,,sent,f,f
4,chen,4,2024-10-04 07:35:39.809737,,,sent,f,f
6,chen,hello,2024-10-04 07:39:47.440948,1,recipient_name,sent,f,f
7,chen,54,2024-10-04 07:42:09.765964,,,sent,f,f
8,test,jnm,2024-10-11 05:20:22.315917,,,sent,f,f
9,test,y35,2024-10-11 05:32:51.661685,,,sent,f,f
10,test,"{""token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjIsImlhdCI6MTcyODYyOTM2MiwiZXhwIjoxNzI4NjMyOTYyfQ.3pTY3ySntFYWJwgJsuyxYgDAoIgFWNRbrzNV3UMFU9g"",""message"":""mk""}",2024-10-11 06:49:37.027787,,,sent,f,f
11,test,"{""token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjIsImlhdCI6MTcyODYyOTQxMywiZXhwIjoxNzI4NjMzMDEzfQ.VyetX1gWiFsJ9hOhhu3X8BoUROsHuC_BkJ9PAj8qepQ"",""message"":""45""}",2024-10-11 06:50:15.953909,,,sent,f,f
12,test,"{""token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjIsImlhdCI6MTcyODYyOTYwMSwiZXhwIjoxNzI4NjMzMjAxfQ.CR8yhwhS7M782yBt1iA9haOEDR_1hBBcsfEHrwKoZak"",""message"":""mi""}",2024-10-11 06:53:23.292941,,,sent,f,f
14,test,"{""token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjIsImlhdCI6MTcyODYyOTc3NSwiZXhwIjoxNzI4NjMzMzc1fQ.g895urKWktY70pUqB8v6lbt9Cxn-VNr8DHUHsogBiSo"",""message"":""fe""}",2024-10-11 06:56:18.411065,,,sent,f,f
15,test,"{""token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjIsImlhdCI6MTcyODYyOTgyOCwiZXhwIjoxNzI4NjMzNDI4fQ._BD5IEgkrxZh0SqQ2bdol4_8nqbkbgUFXxX9Dz9VsDw"",""message"":""mk""}",2024-10-11 06:57:09.552181,,,sent,f,f
